"","Municip_number","Municip_name","Year","average_locs_above_thr","average_prop_locs_above_thr","average_locs_below_thr","average_prop_locs_below_thr"
"1",1804,"Bodo",2012,0,0,1.58620689655172,1
"2",1804,"Bodo",2013,0,0,1.22222222222222,1
"3",1804,"Bodo",2014,0,0,1.50980392156863,1
"4",1804,"Bodo",2015,0,0,1.76190476190476,1
"5",1804,"Bodo",2016,0.0961538461538462,0.0336538461538462,2.38461538461538,0.966346153846154
"6",1804,"Bodo",2017,0.346153846153846,0.101602564102564,2.84615384615385,0.898397435897436
"7",1804,"Bodo",2018,0.192307692307692,0.0807692307692308,3.34615384615385,0.919230769230769
"8",1804,"Bodo",2019,0,0,2.92307692307692,1
"9",1805,"Narvik",2012,0,0,1,1
"10",1805,"Narvik",2013,0,0,1,1
"11",1805,"Narvik",2014,0,0,1,1
"12",1805,"Narvik",2015,0.0222222222222222,0.0222222222222222,0.977777777777778,0.977777777777778
"13",1805,"Narvik",2016,0,0,1,1
"14",1805,"Narvik",2018,0,0,1,1
"15",1805,"Narvik",2019,0,0,1,1
"16",1811,"Bindal",2012,0.146341463414634,0.109756097560976,1.39024390243902,0.890243902439024
"17",1811,"Bindal",2013,0.276595744680851,0.191489361702128,1.23404255319149,0.808510638297872
"18",1811,"Bindal",2014,0.0612244897959184,0.0306122448979592,1.51020408163265,0.969387755102041
"19",1811,"Bindal",2015,0.0377358490566038,0.0141509433962264,3.0377358490566,0.985849056603774
"20",1811,"Bindal",2016,0,0,3.25,1
"21",1811,"Bindal",2017,0.0961538461538462,0.0272435897435897,3.53846153846154,0.97275641025641
"22",1811,"Bindal",2018,0,0,2.675,1
"23",1811,"Bindal",2019,0,0,3.69230769230769,1
"24",1812,"Somna",2012,0,0,1,1
"25",1812,"Somna",2013,0.5,0.260869565217391,1.10869565217391,0.739130434782609
"26",1812,"Somna",2014,0.458333333333333,0.25,1.16666666666667,0.75
"27",1812,"Somna",2016,0,0,1,1
"28",1812,"Somna",2017,0,0,1.57692307692308,1
"29",1812,"Somna",2018,0,0,1.47222222222222,1
"30",1812,"Somna",2019,0,0,1,1
"31",1813,"Bronnoy",2012,0.346153846153846,0.116987179487179,2.82692307692308,0.88301282051282
"32",1813,"Bronnoy",2013,0.68,0.208333333333333,2.4,0.791666666666667
"33",1813,"Bronnoy",2014,0.365384615384615,0.123397435897436,2.67307692307692,0.876602564102564
"34",1813,"Bronnoy",2015,0.188679245283019,0.0628930817610063,3.45283018867925,0.937106918238994
"35",1813,"Bronnoy",2016,0.192307692307692,0.0689102564102564,2.19230769230769,0.931089743589744
"36",1813,"Bronnoy",2017,0.0769230769230769,0.0134615384615385,3.76923076923077,0.986538461538462
"37",1813,"Bronnoy",2018,0.230769230769231,0.0418956043956044,4.90384615384615,0.958104395604396
"38",1813,"Bronnoy",2019,0.230769230769231,0.0384615384615385,4.76923076923077,0.961538461538462
"39",1815,"Vega",2012,0.242424242424242,0.242424242424242,0.757575757575758,0.757575757575758
"40",1815,"Vega",2013,0.2,0.116666666666667,1.8,0.883333333333333
"41",1815,"Vega",2014,0.553191489361702,0.25886524822695,1.51063829787234,0.74113475177305
"42",1815,"Vega",2015,0,0,1.61538461538462,1
"43",1815,"Vega",2016,0.2,0.15,1.675,0.85
"44",1815,"Vega",2017,0,0,1.73076923076923,1
"45",1815,"Vega",2018,0.02,0.01,1.6,0.99
"46",1815,"Vega",2019,0,0,1.76923076923077,1
